Province,Abbreviation,2010,2030
Beijing,BJ,1743,3652
Tianjin,TJ,1231,2414
Hebei,HE,7317,13505
Shanxi,SN,3243,6289
Inner-Mongolia,IM,2295,4776
Liaoning,LN,4955,9724
Jilin,JL,2901,9026
Heilongjiang,HL,3844,7985
Shanghai,SH,2290,4390
Jiangsu,JS,9057,14981
Zhejiang,ZJ,5448,10193
Anhui,AH,6364,9449
Fujian,FJ,3112,6221
Jiangxi,JX,3722,6620
Shandong,SD,10496,18710
Henan,HA,9375,15950
Hubei,HB,6160,11396
Hunan,HN,6989,11448
Guangdong,GD,7672,16335
Guangxi,GX,4356,6897
Hainan,HI,672,1302
Chongqing,CQ,3891,5915
Sichuan,SC,9832,14339
Guizhou,GZ,3416,4862
Yunnan,YN,3838,6528
Tibet,Tibet,209,367
Shaanxi,SN,3716,6494
Gansu,GS,2673,4341
Qinghai,QH,433,738
Ningxia,NX,493,943
Xinjiang,XJ,1730,3088
