Age,Male,Female
 0-4,30.989064,28.419105
 5-9,32.029779,29.109066
10-14,32.401083,29.188292
15-19,32.31537,28.857479
20-24,32.927024,29.146395
25-29,35.972146,31.57721
30-34,41.178077,35.843859
35-39,43.54124,37.562993
40-44,41.118506,35.212417
45-49,38.920978,33.693748
50-54,40.155004,35.475133
55-59,52.977507,47.911822
60-64,62.00372,58.138419
65-69,44.914157,43.543523
70-74,39.154326,38.96485
75-79,41.177909,43.064314
80-84,31.481861,35.942588
85-89,15.498886,19.292387
 90+,7.136725,11.219368
